Serviço,Preço,Descrição
Consultoria de Imagem Inteligente,150€,
Consultoria de Imagem Inteligente Total,600€,análise facial básica
Consultoria de Imagem Inteligente Total,680€,análise facial detalhada
Consultoria de Análise Facial Detalhada,200€,
Coloração Pessoal,80€,
Closet Detox,150€,mínimo
Personal Shopping,150€,mínimo
Consultoria de Noivos,500€,com maquilhagem no dia do casamento
Consultoria de Noivos,400€,sem maquilhagem
Consultoria de Noivos,250€,só maquilhagem sem consultoria de imagem
Consultoria Escolha de Óculos,100€,
Maquilhagem profissional,30€,
Formação e palestras,125€/h,
